Municipio;cd_geocmu;TT17_Dominant
Abaetetuba - PA;1500107;5
Abel Figueiredo - PA;1500131;4
Abreulândia - TO;1700251;4
Açailândia - MA;2100055;5
Acará - PA;1500206;2
Acorizal - MT;5100102;7
Acrelândia - AC;1200013;3
Afuá - PA;1500305;2
Água Azul do Norte - PA;1500347;4
Água Boa - MT;5100201;7
Aguiarnópolis - TO;1700301;4
Alcântara - MA;2100204;3
Alenquer - PA;1500404;1
Aliança do Tocantins - TO;1700350;4
Almas - TO;1700400;7
Almeirim - PA;1500503;2
Alta Floresta - MT;5100250;4
Alta Floresta D'Oeste - RO;1100015;4
Altamira - PA;1500602;4
Altamira do Maranhão - MA;2100402;4
Alto Alegre - RR;1400050;7
Alto Alegre do Maranhão - MA;2100436;4
Alto Alegre do Pindaré - MA;2100477;3
Alto Alegre dos Parecis - RO;1100379;3
Alto Araguaia - MT;5100300;4
Alto Boa Vista - MT;5100359;7
Alto Garças - MT;5100409;7
Alto Paraguai - MT;5100508;7
Alto Paraíso - RO;1100403;3
Alto Parnaíba - MA;2100501;7
Alto Taquari - MT;5100607;7
Alvarães - AM;1300029;1
Alvorada - TO;1700707;4
Alvorada D'Oeste - RO;1100346;3
Amajari - RR;1400027;7
Amapá - AP;1600105;4
Amapá do Maranhão - MA;2100550;1
Amarante do Maranhão - MA;2100600;4
Amaturá - AM;1300060;2
Anajás - PA;1500701;2
Anajatuba - MA;2100709;3
Anamã - AM;1300086;2
Ananás - TO;1701002;4
Ananindeua - PA;1500800;1
Anapu - PA;1500859;4
Angico - TO;1701051;4
Anori - AM;1300102;2
Aparecida do Rio Negro - TO;1701101;7
Apiacás - MT;5100805;4
Apicum-Açu - MA;2100832;1
Apuí - AM;1300144;3
Aragominas - TO;1701309;4
Araguacema - TO;1701903;7
Araguaçu - TO;1702000;4
Araguaiana - MT;5101001;4
Araguaína - TO;1702109;4
Araguainha - MT;5101209;4
Araguanã - MA;2100873;1
Araguanã - TO;1702158;4
Araguatins - TO;1702208;4
Arame - MA;2100956;3
Arapoema - TO;1702307;4
Araputanga - MT;5101258;4
Arari - MA;2101004;7
Arenápolis - MT;5101308;7
Aripuanã - MT;5101407;4
Ariquemes - RO;1100023;4
Arraias - TO;1702406;4
Assis Brasil - AC;1200054;2
Atalaia do Norte - AM;1300201;1
Augustinópolis - TO;1702554;2
Augusto Corrêa - PA;1500909;1
Aurora do Pará - PA;1500958;1
Aurora do Tocantins - TO;1702703;7
Autazes - AM;1300300;1
Aveiro - PA;1501006;1
Axixá - MA;2101103;1
Axixá do Tocantins - TO;1702901;2
Babaçulândia - TO;1703008;2
Bacabal - MA;2101202;4
Bacabeira - MA;2101251;7
Bacuri - MA;2101301;1
Bacurituba - MA;2101350;1
Bagre - PA;1501105;2
Baião - PA;1501204;2
Balsas - MA;2101400;7
Bandeirantes do Tocantins - TO;1703057;4
Bannach - PA;1501253;4
Barão de Melgaço - MT;5101605;7
Barcarena - PA;1501303;2
Barcelos - AM;1300409;1
Barra do Bugres - MT;5101704;7
Barra do Corda - MA;2101608;3
Barra do Garças - MT;5101803;4
Barra do Ouro - TO;1703073;7
Barreirinha - AM;1300508;2
Barrolândia - TO;1703107;4
Bela Vista do Maranhão - MA;2101772;4
Belém - PA;1501402;2
Belterra - PA;1501451;7
Benedito Leite - MA;2101806;4
Benevides - PA;1501501;7
